ID|KOD|NAME|PARENT_ID
34|B33|Другие вирусные болезни, не классифицированные в других рубриках|33
35|B33.8|Другие уточненные вирусные болезни|34
36|B33.3|Ретровирусные инфекции, не классифицированные в других рубриках|34
37|B33.2|Вирусный кардит|34
38|B33.1|Болезнь Росс-Ривер|34
39|B33.0|Эпидемическая миалгия|34
40|B33.4|Хантавирусный (кардио)-пульмональный синдром (HPS)|34
41|B30|Вирусный конъюнктивит|33
42|B30.9|Вирусный конъюнктивит неуточненный|41
43|B30.8+|Другой вирусный конъюнктивит (H13.1*)|41
44|B30.3+|Острый эпидемический геморрагический конъюнктивит (энтеровирусный) (H13.1*)|41
45|B30.2|Вирусный фарингоконъюнктивит|41
46|B30.1+|Конъюнктивит, вызванный аденовирусом (H13.1*)|41
47|B30.0+|Кератоконъюнктивит, вызванный аденовирусом (H19.2*)|41
48|B34|Вирусная инфекция неуточненной локализации|33
49|B34.0|Аденовирусная инфекция неуточненная|48
50|B34.9|Вирусная инфекция неуточненная|48
51|B34.3|Парвовирусная инфекция неуточненная|48
52|B34.8|Другие вирусные инфекции неуточненной локализации|48
53|B34.2|Коронавирусная инфекция неуточненная|48
54|B34.4|Паповавирусная инфекция неуточненная|48
55|B34.1|Энтеровирусная инфекция неуточненная|48
56|B27|Инфекционный мононуклеоз|33
57|B27.9|Инфекционный мононуклеоз неуточненный|56
58|B27.8|Другой инфекционный мононуклеоз|56
59|B27.1|Цитомегаловирусный мононуклеоз|56
60|B27.0|Мононуклеоз, вызванный гамма-герпетическим вирусом|56
61|B26|Эпидемический паротит|33
62|B26.9|Эпидемический паротит неосложненный|61
63|B26.8|Эпидемический паротит с другими осложнениями|61
64|B26.3+|Паротитный панкреатит (K87.1*)|61
65|B26.2+|Паротитный энцефалит (G05.1*)|61
66|B26.1+|Паротитный менингит (G02.0*)|61
67|B26.0+|Паротитный орхит (N51.1*)|61
68|B25|Цитомегаловирусная болезнь|33
69|B25.9|Цитомегаловирусная болезнь неуточненная|68
70|B25.8|Другие цитомегаловирусные болезни|68
71|B25.2+|Цитомегаловирусный панкреатит (K87.1*)|68
72|B25.1+|Цитомегаловирусный гепатит (K77.0*)|68
73|B25.0+|Цитомегаловирусный пневмонит (J17.1*)|68
74|B35-B49|МИКОЗЫ|1
75|B42|Споротрихоз|74
76|B42.1|Кожно-лимфатический споротрихоз|75
77|B42.8|Другие виды споротрихоза|75
78|B42.7|Диссеминированный споротрихоз|75
79|B42.0+|Легочный споротрихоз (J99.8*)|75
80|B42.9|Споротрихоз неуточненный|75
81|B45|Криптококкоз|74
82|B45.0|Легочный криптококкоз|81
83|B45.1|Церебральный криптококкоз|81
84|B45.2|Кожный криптококкоз|81
85|B45.3|Костный криптококкоз|81
86|B45.7|Диссеминированный криптококкоз|81
87|B45.8|Другие виды криптококкоза|81
88|B45.9|Криптококкоз неуточненный|81
89|B46|Зигомикоз|74
90|B46.0|Легочный мукормикоз|89
91|B46.1|Риноцеребральный мукормикоз|89
92|B46.2|Гастроинтестинальный мукормикоз|89
93|B46.3|Кожный мукормикоз|89
94|B46.4|Диссеминированный мукормикоз|89
95|B46.5|Мукормикоз неуточненный|89
96|B46.8|Другие зигомикозы|89
97|B46.9|Зигомикоз неуточненный|89
98|B41|Паракокцидиоидомикоз|74
99|B41.9|Паракокцидиоидомикоз неуточненный|98
100|B41.8|Другие виды паракокцидиоидомикоза|98
101|B41.7|Диссеминированный паракокцидиоидомикоз|98
102|B41.0|Легочный паракокцидиоидомикоз|98
103|B43|Хромомикоз и феомикотический абсцесс|74
104|B43.8|Другие виды хромомикоза|103
105|B43.9|Хромомикоз неуточненный|103
106|B43.2|Подкожный феомикотический абсцесс и киста|103
107|B43.1|Феомикотический абсцесс мозга|103
108|B43.0|Кожный хромомикоз|103
109|B40|Бластомикоз|74
110|B40.9|Бластомикоз неуточненный|109
111|B40.8|Другие виды бластомикоза|109
112|B40.7|Диссеминированный бластомикоз|109
113|B40.3|Кожный бластомикоз|109
114|B40.2|Легочный бластомикоз неуточненный|109
115|B40.1|Хронический легочный бластомикоз|109
116|B40.0|Острый легочный бластомикоз|109
117|B39|Гистоплазмоз|74
118|B39.9|Гистоплазмоз неуточненный|117
119|B39.5|Инфекция, вызванная Histoplasma duboisii|117
120|B39.4|Гистоплазмоз неуточненный|117
121|B39.3|Диссеминированный гистоплазмоз|117
122|B39.2|Легочный гистоплазмоз неуточненный|117
123|B39.1|Хроническая легочная инфекция, вызванная Histoplasma capsulatum|117
124|B39.0|Острая легочная инфекция, вызванная Histoplasma capsulatum|117
125|B44|Аспергиллез|74
126|B44.1|Другие формы легочного аспергиллеза|125
127|B44.2|Тонзиллярный аспергиллез|125
128|B44.7|Диссеминированный аспергиллез|125
129|B44.8|Другие виды аспергиллеза|125
130|B44.9|Аспергиллез неуточненный|125
131|B44.0|Инвазивный легочный аспергиллез|125
132|B38|Кокцидиоидомикоз|74
133|B38.9|Кокцидиоидомикоз неуточненный|132
134|B38.8|Другие виды кокцидиоидомикоза|132
135|B38.7|Диссеминированный кокцидиоидомикоз|132
136|B38.4+|Кокцидиоидомикозный менингит (G02.1*)|132
137|B38.3|Кожный кокцидиоидомикоз|132
138|B38.2|Легочный кокцидиоидомикоз неуточненный|132
139|B38.1|Хронический легочный кокцидиоидомикоз|132
140|B38.0|Острый легочный кокцидиоидомикоз|132
141|B37|Кандидоз|74
142|B37.9|Кандидоз неуточненный|141
143|B37.8|Кандидоз других локализаций|141
144|B37.7|Кандидозная септицемия|141
145|B37.6+|Кандидозный эндокардит (I39.8*)|141
146|B37.5+|Кандидозный менингит (G02.1*)|141
147|B37.4+|Кандидоз других урогенитальных локализаций|141
148|B37.3+|Кандидоз вульвы и вагины (N77.1*)|141
149|B37.1|Легочный кандидоз|141
150|B37.0|Кандидозный стоматит|141
151|B37.2|Кандидоз кожи и ногтей|141
152|B36|Другие поверхностные микозы|74
153|B36.9|Поверхностный микоз неуточненный|152
154|B36.8|Другие уточненные поверхностные микозы|152
155|B36.3|Черная пьедра|152
156|B36.2|Белая пьедра|152
157|B36.1|Черный микоз|152
158|B36.0|Разноцветный лишай|152
159|B35|Дерматофития|74
160|B35.9|Дерматофитии неуточненные|159
161|B35.8|Другие дерматофитии|159
162|B35.6|Эпидермофития паховая|159
163|B35.5|Черепицеобразный микоз|159
164|B35.4|Микоз туловища|159
165|B35.3|Микоз стоп|159
166|B35.2|Микоз кистей|159
167|B35.1|Микоз ногтей|159
168|B35.0|Микоз бороды и головы|159
169|B47|Мицетома|74
170|B47.0|Истинная мицетома|169
171|B47.1|Актиномицетома|169
172|B47.9|Мицетома неуточненная|169
173|B48|Другие микозы, не классифицированные в других рубриках|74
174|B48.0|Лобомикоз|173
175|B48.1|Риноспоридиоз|173
176|B48.2|Аллешероз|173
177|B48.4|Пенициллоз|173
178|B48.3|Геотрихоз|173
179|B48.8|Другие уточненные микозы|173
180|B48.7|Оппортунистические микозы|173
181|B49|Микоз неуточненный|74
182|B15-B19|ВИРУСНЫЙ ГЕПАТИТ|1
183|B19|Вирусный гепатит неуточненный|182
184|B19.9|Неуточненный вирусный гепатит без печеночной комы|183
185|B19.0|Неуточненный вирусный гепатит с комой|183
186|B18|Хронический вирусный гепатит|182
187|B18.9|Хронический вирусный гепатит неуточненный|186
188|B18.8|Другой хронический вирусный гепатит|186
189|B18.2|Хронический вирусный гепатит C|186
190|B18.1|Хронический вирусный гепатит B без дельта-агента|186
191|B18.0|Хронический вирусный гепатит B с дельта-агентом|186
192|B17|Другие острые вирусные гепатиты|182
193|B17.8|Другие уточненные острые вирусные гепатиты|192
194|B17.2|Острый гепатит E|192
195|B17.1|Острый гепатит C|192
196|B17.0|Острая дельта(супер)-инфекция вирусоносителя гепатита B|192
197|B16|Острый гепатит B|182
198|B16.9|Острый гепатит B без дельта-агента и без печеночной комы|197
199|B16.2|Острый гепатит B без дельта-агента с печеночной комой|197
200|B16.1|Острый гепатит B с дельта-агентом (коинфекция) без печеночной комы|197
201|B16.0|Острый гепатит B с дельта-агентом (коинфекция) и печеночной комой|197
202|B15|Острый гепатит A|182
203|B15.9|Гепатит A без печеночной комы|202
204|B15.0|Гепатит A с печеночной комой|202
205|B00-B09|ВИРУСНЫЕ ИНФЕКЦИИ, ХАРАКТЕРИЗУЮЩИЕСЯ ПОРАЖЕНИЯМИ КОЖИ И СЛИЗИСТЫХ ОБОЛОЧЕК|1
206|B09|Вирусная инфекция, характеризующаяся поражением кожи и слизистых оболочек, неуточненная|205
207|B02|Опоясывающий лишай [herpes zoster]|205
208|B02.9|Опоясывающий лишай без осложнений|207
209|B02.8|Опоясывающий лишай с другими осложнениями|207
210|B02.7|Диссеминированный опоясывающий лишай|207
211|B02.2+|Опоясывающий лишай с другими осложнениями со стороны нервной системы|207
212|B02.1+|Опоясывающий лишай с менингитом (G02.0*)|207
213|B02.0+|Опоясывающий лишай с энцефалитом (G05.1*)|207
214|B02.3+|Опоясывающий лишай с глазными осложнениями|207
215|B08|Другие вирусные инфекции, характеризующиеся поражениями кожи и слизистых оболочек, не классифицированные в других рубриках|205
216|B08.8|Другие уточненные инфекции, характеризующиеся поражением кожи и слизистых оболочек|215
217|B08.5|Энтеровирусный везикулярный фарингит|215
218|B08.4|Энтеровирусный везикулярный стоматит с экзантемой|215
219|B08.3|Эритема инфекционная (пятая болезнь)|215
220|B08.2|Экзантема внезапная (шестая болезнь)|215
221|B08.1|Контагиозный моллюск|215
222|B08.0|Другие инфекции, вызванные ортопоксвирусом|215
223|B07|Вирусные бородавки|205
224|B06|Краснуха [немецкая корь]|205
225|B06.9|Краснуха без осложнений|224
226|B06.8|Краснуха с другими осложнениями|224
227|B06.0+|Краснуха с неврологическими осложнениями|224
228|B05|Корь|205
229|B05.9|Корь без осложнений|228
230|B05.1+|Корь, осложненная менингитом (G02.0*)|228
231|B05.0+|Корь, осложненная энцефалитом (G05.1*)|228
232|B05.8|Корь с другими осложнениями|228
233|B05.4|Корь с кишечными осложнениями|228
234|B05.3+|Корь, осложненная средним отитом (H67.1*)|228
235|B05.2+|Корь, осложненная пневмонией (J17.1*)|228
236|B04|Инфекции, вызванные вирусом обезьяньей оспы|205
237|B03|Оспа|205
238|B01|Ветряная оспа [varicella]|205
239|B01.1+|Ветряная оспа с энцефалитом (G05.1*)|238
240|B01.0+|Ветряная оспа с менингитом (G02.0*)|238
241|B01.9|Ветряная оспа без осложнений|238
242|B01.8|Ветряная оспа с другими осложнениями|238
243|B01.2+|Ветряная оспа с пневмонией (J17.1*)|238
244|B00|Инфекции, вызванные вирусом герпеса [herpes simplex]|205
245|B00.9|Герпетическая инфекция неуточненная|244
246|B00.8|Другие формы герпетических инфекций|244
247|B00.7|Диссеминированная герпетическая болезнь|244
248|B00.5+|Герпетическая болезнь глаз|244
249|B00.4+|Герпетический энцефалит (G05.1*)|244
250|B00.3+|Герпетический менингит (G02.0*)|244
251|B00.1|Герпетический везикулярный дерматит|244
252|B00.0|Герпетическая экзема|244
253|B00.2|Герпетический гингивостоматит и фаринготонзиллит|244
254|A90-A99|ВИРУСНЫЕ ЛИХОРАДКИ, ПЕРЕДАВАЕМЫЕ ЧЛЕНИСТОНОГИМИ, И ВИРУСНЫЕ ГЕМОРРАГИЧЕСКИЕ ЛИХОРАДКИ|1
255|A99|Вирусная геморрагическая лихорадка неуточненная|254
256|A95|Желтая лихорадка|254
257|A95.1|Городская желтая лихорадка|256
258|A95.0|Лесная желтая лихорадка|256
259|A95.9|Желтая лихорадка неуточненная|256
260|A94|Вирусная лихорадка, передаваемая членистоногими, неуточненная|254
261|A93|Другие вирусные лихорадки, передаваемые членистоногими, не классифицированные в других рубриках|254
262|A93.8|Другие уточненные вирусные лихорадки, передаваемые членистоногими|261
263|A93.2|Колорадская клещевая лихорадка|261
264|A93.1|Москитная лихорадка|261
265|A93.0|Болезнь, вызванная вирусом Оропуш|261
266|A98|Другие вирусные геморрагические лихорадки, не классифицированные в других рубриках|254
267|A98.2|Кьясанурская лесная болезнь|266
268|A98.5|Геморрагическая лихорадка с почечным синдромом|266
269|A98.1|Омская геморрагическая лихорадка|266
270|A98.8|Другие уточненные вирусные геморрагические лихорадки|266
271|A98.0|Крымская геморрагическая лихорадка (вызванная вирусом Конго)|266
272|A98.4|Болезнь, вызванная вирусом Эбола|266
273|A98.3|Болезнь, вызванная вирусом Марбург|266
274|A96|Ареновирусная геморрагическая лихорадка|254
275|A96.9|Ареновирусная геморрагическая лихорадка неуточненная|274
276|A96.8|Другие ареновирусные геморрагические лихорадки|274
277|A96.2|Лихорадка Ласса|274
278|A96.1|Геморрагическая лихорадка Мачупо|274
279|A96.0|Геморрагическая лихорадка Хунин|274
280|A91|Геморрагическая лихорадка, вызванная вирусом денге|254
281|A90|Лихорадка денге [классическая лихорадка денге]|254
282|A92|Другие комариные вирусные лихорадки|254
283|A92.0|Болезнь, вызванная вирусом Чикунгунья|282
284|A92.1|Лихорадка 'Ньонг-Ньонг'|282
285|A92.9|Комариная вирусная лихорадка неуточненная|282
286|A92.8|Другая уточненная комариная вирусная лихорадка|282
287|A92.4|Лихорадка Рифт-Валли [долины Рифт]|282
288|A92.3|Лихорадка Западного Нила|282
289|A92.2|Венесуэльская лошадиная лихорадка|282
290|A80-A89|ВИРУСНЫЕ ИНФЕКЦИИ ЦЕНТРАЛЬНОЙ НЕРВНОЙ СИСТЕМЫ|1
291|A89|Вирусная инфекция  центральной нервной системы неуточненная|290
292|A88|Другие вирусные инфекции центральной нервной системы, не классифицированные в других рубриках|290
293|A88.8|Другие уточненные вирусные инфекции центральной нервной системы|292
294|A88.1|Эпидемическое головокружение|292
295|A88.0|Энтеровирусная экзантематозная лихорадка [бостонская экзантема]|292
296|A87|Вирусный менингит|290
297|A87.9|Вирусный менингит неуточненный|296
298|A87.8|Другой вирусный менингит|296
299|A87.2|Лимфоцитарный хориоменингит|296
300|A87.1+|Аденовирусный менингит (G02.0*)|296
301|A87.0+|Энтеровирусный менингит (G02.0*)|296
302|A86|Вирусный энцефалит неуточненный|290
303|A85|Другие вирусные энцефалиты, не классифицированные в других рубриках|290
304|A85.8|Другие уточненные вирусные энцефалиты|303
305|A85.2|Вирусный энцефалит, передаваемый членистоногими, неуточненный|303
306|A85.1+|Аденовирусный энцефалит (G05.1*)|303
307|A85.0+|Энтеровирусный энцефалит (G05.1*)|303
308|A84|Клещевой вирусный энцефалит|290
309|A84.9|Клещевой вирусный энцефалит неуточненный|308
310|A84.8|Другие клещевые вирусные энцефалиты|308
311|A84.1|Центральноевропейский клещевой энцефалит|308
312|A84.0|Дальневосточный клещевой энцефалит [русский весенне-летний энцефалит]|308
313|A83|Комариный вирусный энцефалит|290
314|A83.9|Комариный вирусный энцефалит неуточненный|313
315|A83.8|Другие комариные вирусные энцефалиты|313
316|A83.6|Болезнь, вызванная вирусом Роцио|313
317|A83.5|Калифорнийский энцефалит|313
318|A83.4|Австралийский энцефалит|313
319|A83.3|Энцефалит Сент-Луис|313
320|A83.2|Восточный лошадиный энцефалит|313
321|A83.1|Западный лошадиный энцефалит|313
322|A83.0|Японский энцефалит|313
323|A82|Бешенство|290
324|A82.1|Городское бешенство|323
325|A82.9|Бешенство неуточненное|323
326|A82.0|Лесное бешенство|323
327|A81|Медленные вирусные инфекции центральной нервной системы|290
328|A81.9|Медленные вирусные инфекции центральной нервной системы неуточненные|327
329|A81.8|Другие медленные вирусные инфекции центральной нервной системы Куру|327
330|A81.2|Прогрессирующая многоочаговая лейкоэнцефалопатия|327
331|A81.1|Подострый склерозирующий панэнцефалит|327
332|A81.0|Болезнь Крейтцфельдта-Якоба|327
333|A80|Острый полиомиелит|290
334|A80.9|Острый полиомиелит неуточненный|333
335|A80.4|Острый непаралитический полиомиелит|333
336|A80.3|Острый паралитический полиомиелит другой и неуточненный|333
337|A80.2|Острый паралитический полиомиелит, вызванный диким природным вирусом|333
338|A80.1|Острый паралитический полиомиелит, вызванный диким завезенным вирусом|333
339|A80.0|Острый паралитический полиомиелит, ассоциированный с вакциной|333
340|A75-A79|РИККЕТСИОЗЫ|1
341|A79|Другие риккетсиозы|340
342|A79.9|Риккетсиоз неуточненный|341
343|A79.8|Другие уточненные риккетсиозы|341
344|A79.1|Осповидный риккетсиоз, вызываемый Rickettsia akari|341
345|A79.0|Окопная лихорадка|341
346|A78|Лихорадка Ку|340
347|A77|Пятнистая лихорадка [клещевые риккетсиозы]|340
348|A77.9|Пятнистая лихорадка неуточненная|347
349|A77.8|Другие пятнистые лихорадки|347
350|A77.3|Пятнистая лихорадка, вызываемая Rickettsia australis|347
351|A77.2|Пятнистая лихорадка, вызываемая Rickettsia siberica|347
352|A77.1|Пятнистая лихорадка, вызываемая Rickettsia conorii|347
353|A77.0|Пятнистая лихорадка, вызываемая Rickettsia rickettsii|347
354|A75|Сыпной тиф|340
355|A75.9|Сыпной тиф неуточненный|354
356|A75.3|Тиф, вызываемый Rickettsia tsutsugamushi|354
357|A75.1|Рецидивирующий тиф [болезнь Брилла]|354
358|A75.0|Эпидемический вшивый тиф, вызываемый Rickettsia prowazekii|354
359|A75.2|Тиф, вызываемый Rickettsia typhi|354
360|A70-A74|ДРУГИЕ БОЛЕЗНИ, ВЫЗЫВАЕМЫЕ ХЛАМИДИЯМИ|1
361|A74|Другие болезни, вызываемые хламидиями|360
362|A74.9|Хламидийная инфекция неуточненная|361
363|A74.8|Другие хламидийные болезни|361
364|A74.0+|Хламидийный конъюнктивит (H13.1*)|361
365|A71|Трахома|360
366|A71.9|Трахома неуточненная|365
367|A71.1|Активная стадия трахомы|365
368|A71.0|Начальная стадия трахомы|365
369|A70|Инфекция, вызываемая Chlamydia psittaci|360
370|B90-B94|ПОСЛЕДСТВИЯ ИНФЕКЦИОННЫХ И ПАРАЗИТАРНЫХ БОЛЕЗНЕЙ|1
371|B90|Последствия туберкулеза|370
372|B90.2|Отдаленные последствия туберкулеза костей и суставов|371
373|B90.1|Отдаленные последствия туберкулеза мочеполовых органов|371
374|B90.0|Отдаленные последствия туберкулеза центральной нервной системы|371
375|B90.9|Отдаленные последствия туберкулеза органов дыхания и неуточненного туберкулеза|371
376|B90.8|Отдаленные последствия туберкулеза других уточненных органов|371
377|B94|Последствия других и неуточненных инфекционных и паразитарных болезней|370
378|B94.9|Отдаленные последствия неуточненных инфекционных и паразитарных болезней|377
379|B94.8|Отдаленные последствия других уточненных инфекционных и паразитарных болезней|377
380|B94.2|Отдаленные последствия вирусного гепатита|377
381|B94.1|Отдаленные последствия вирусного энцефалита|377
382|B94.0|Отдаленные последствия трахомы|377
383|B92|Последствия лепры|370
384|B91|Последствия полиомиелита|370
385|B85-B89|ПЕДИКУЛЕЗ, АКАРИАЗ И ДРУГИЕ ИНФЕСТАЦИИ|1
386|B89|Паразитарная болезнь неуточненная|385
387|B88|Другие инфестации|385
388|B88.9|Инфестация неуточненная|387
389|B88.8|Другие уточненные инфестации|387
390|B88.3|Наружный гирудиноз|387
391|B88.2|Другие инфестации членистоногими|387
392|B88.1|Тунгиоз [инфестация тропической песчаной блохой]|387
393|B88.0|Другой аскариаз|387
394|B87|Миаз|385
395|B87.9|Миаз неуточненный|394
396|B87.8|Миаз другой локализации|394
397|B87.4|Ушной миаз|394
398|B87.3|Носоглоточный миаз|394
399|B87.2|Глазной миаз|394
400|B87.1|Раневой миаз|394
401|B87.0|Кожный миаз|394
402|B86|Чесотка|385
403|B85|Педикулез и фтириоз|385
404|B85.4|Смешанный педикулез|403
405|B85.3|Фтириоз|403
406|B85.2|Педикулез неуточненный|403
407|B85.1|Педикулез, вызванный Pediculus humanus corporis|403
408|B85.0|Педикулез, вызванный Pediculus humanus capitis|403
409|B65-B83|ГЕЛЬМИНТОЗЫ|1
410|B83|Другие гельминтозы|409
411|B83.9|Гельминтозы неуточненные|410
412|B83.8|Другие уточненные гельминтозы|410
413|B83.4|Внутренний гирудиноз|410
414|B83.3|Сингамиоз|410
415|B83.2|Ангиостронгилоидоз, вызванный Parastrongylus cantonensis|410
416|B83.1|Гнатостомоз|410
417|B83.0|Висцеральная форма заболеваний, вызываемых миграцией личинок гельминтов [висцеральная Larva migrans]|410
418|B82|Кишечный паразитизм неуточненный|409
419|B82.9|Кишечный паразитизм неуточненный|418
420|B82.0|Кишечные гельминтозы неуточненные|418
421|B81|Другие кишечные гельминтозы, не классифицированные в других рубриках|409
422|B81.8|Другие уточненные кишечные гельминтозы|421
423|B81.4|Кишечные гельминтозы смешанной этиологии|421
424|B81.3|Кишечный ангиостронгилоидоз|421
425|B81.2|Трихостронгилоидоз|421
426|B81.1|Кишечный капилляриоз|421
427|B81.0|Анизакиоз|421
428|B80|Энтеробиоз|409
429|B79|Трихуроз|409
430|B78|Стронгилоидоз|409
431|B78.9|Стронгилоидоз неуточненный|430
432|B78.7|Диссеминированный стронгилоидоз|430
433|B78.1|Кожный стронгилоидоз|430
434|B78.0|Кишечный стронгилоидоз|430
435|B77|Аскаридоз|409
436|B77.9|Аскаридоз неуточненный|435
437|B77.8|Аскаридоз с другими осложнениями|435
438|B77.0|Аскаридоз с кишечными осложнениями|435
439|B76|Анкилостомидоз|409
440|B76.9|Анкилостомидоз неуточненный|439
441|B76.8|Другие анкилостомидозы|439
442|B76.1|Некатороз|439
443|B76.0|Анкилостомоз|439
444|B75|Трихинеллез|409
445|B74|Филяриатоз|409
446|B74.9|Филяриатоз неуточненный|445
447|B74.8|Другие виды филяриатоза|445
448|B74.4|Мансонеллез|445
449|B74.3|Лоаоз|445
450|B74.2|Филяриатоз, вызванный Brugia timori|445
451|B74.1|Филяриатоз, вызванный Brugia malayi|445
452|B74.0|Филяриатоз, вызванный Wuchereria bancrofti|445
453|B73|Онхоцеркоз|409
454|B72|Дракункулез|409
455|B71|Другие инвазии, вызванные цестодами|409
456|B50-B64|ПРОТОЗОЙНЫЕ БОЛЕЗНИ|1
457|B71.9|Инвазия цестодами неуточненными|455
458|B71.8|Инвазия другими уточненными цестодами|455
459|B71.1|Дипилидиоз|455
460|B71.0|Гименолепидоз|455
461|B70|Дифиллоботриоз и спарганоз|409
462|B70.1|Спарганоз|461
463|B70.0|Дифиллоботриоз|461
464|B69|Цистицеркоз|409
465|B69.9|Цистицеркоз неуточненный|464
466|B69.8|Цистицеркоз других локализаций|464
467|B69.1|Цистицеркоз глаза|464
468|B69.0|Цистицеркоз центральной нервной системы|464
469|B68|Тениоз|409
470|B68.9|Тениоз неуточненный|469
471|B68.1|Инвазия, вызванная Taenia saginata|469
472|B68.0|Инвазия, вызванная Taenia solium|469
473|B67|Эхинококкоз|409
474|B67.9|Эхинококкоз других органов и неуточненный|473
475|B67.8|Эхинококкоз печени неуточненный|473
476|B67.7|Инвазия, вызванная Echinococcus multilocularis, неуточненная|473
477|B67.6|Инвазия другой локализации и множественный эхинококкоз, вызванные Echinococcus multilocularis|473
478|B67.5|Инвазия печени, вызванная Echinococcus multilocularis|473
479|B67.4|Инвазия, вызванная Echinococcus granulosus, неуточненная|473
480|B67.3|Инвазия другой локализации и множественный эхинококкоз, вызванный Echinococcus granulosus|473
481|B67.2|Инвазия кости, вызванная Echinococcus granulosus|473
482|B67.1|Инвазия легкого, вызванная Echinococcus granulosus|473
483|B67.0|Инвазия печени, вызванная Echinococcus granulosus|473
484|B66|Другие трематодозы|409
485|B66.9|Инвазия двуустками неуточненная|484
486|B66.8|Инвазии, вызванные другими двуустками|484
487|B66.5|Фасциолопсидоз|484
488|B66.4|Парагонимоз|484
489|B66.3|Фасциолез|484
490|B66.2|Дикроцелиоз|484
491|B66.0|Описторхоз|484
492|B66.1|Клонорхоз|484
493|B65|Шистосомоз [бильгарциоз]|409
494|B65.9|Шистосомоз неуточненный|493
495|B65.8|Другие шистосомозы|493
496|B65.3|Церкариальный дерматит|493
497|B65.2|Шистосомоз, вызванный Schistosoma japonicum|493
498|B65.1|Шистосомоз, вызванный Schistosoma mansoni [кишечный шистосомоз]|493
499|B65.0|Шистосомоз, вызванный Schistosoma haematobium [мочеполовой шистосомоз]|493
500|B64|Протозойная болезнь неуточненная|456
501|B60|Другие протозойные болезни, не классифицированные в других рубриках|456
502|B60.8|Другие уточненные протозойные болезни|501
503|B60.2|Неглериаз|501
504|B60.1|Акантамебиаз|501
505|B60.0|Бабезиоз|501
506|B59|Пневмоцистоз|456
507|B58|Токсоплазмоз|456
508|B58.9|Токсоплазмоз неуточненный|507
509|B58.8|Токсоплазмоз с поражением других органов|507
510|B58.3+|Легочный токсоплазмоз (J17.3*)|507
511|B58.2+|Токсоплазмозный менингоэнцефалит (G05.2*)|507
